obs,s_eua,f_eua,s_cer,f_cer,time_to_mat
2013-01-01,6.44,,0.34,0.88,4.17054263565892
2013-01-02,6.4,,0.35,0.87,4.16666666666667
2013-01-03,6.23,,0.37,0.86,4.16279069767442
2013-01-04,6.17,,0.37,0.76,4.15891472868218
2013-01-07,6.49,,0.41,0.89,4.15503875968993
2013-01-08,6.3,,0.4,0.87,4.15116279069768
2013-01-09,6.05,,0.44,0.83,4.14728682170543
2013-01-10,5.89,,0.44,0.83,4.14341085271318
2013-01-11,5.75,,0.4,0.79,4.13953488372094
2013-01-14,5.74,,0.38,0.73,4.13565891472869
2013-01-15,5.91,,0.38,0.74,4.13178294573644
2013-01-16,5.5,,0.35,0.66,4.12790697674419
2013-01-17,5.47,,0.34,0.66,4.12403100775194
2013-01-18,4.98,,0.31,0.59,4.1201550387597
2013-01-21,4.83,,0.32,0.64,4.11627906976745
2013-01-22,5.32,,0.35,0.65,4.1124031007752
2013-01-23,4.53,,0.32,0.62,4.10852713178295
2013-01-24,4.23,,0.34,0.66,4.1046511627907
2013-01-25,4.01,,0.33,0.63,4.10077519379846
2013-01-28,4.08,,0.35,0.64,4.09689922480621
2013-01-29,3.89,,0.35,0.63,4.09302325581396
2013-01-30,3.7,,0.35,0.63,4.08914728682171
2013-01-31,3.33,,0.34,0.6,4.08527131782946
2013-02-01,4.23,,0.33,0.61,4.08139534883722
2013-02-04,4.21,,0.35,0.62,4.07751937984497
2013-02-05,4.3,,0.34,0.61,4.07364341085272
2013-02-06,4.07,,0.33,0.6,4.06976744186047
2013-02-07,4.09,,0.33,0.66,4.06589147286822
2013-02-08,4.44,,0.34,0.67,4.06201550387597
2013-02-11,4.37,,0.35,0.68,4.05813953488373
2013-02-12,4.47,,0.33,0.68,4.05426356589148
2013-02-13,5.11,,0.28,0.66,4.05038759689923
2013-02-14,5.13,,0.3,0.65,4.04651162790698
2013-02-15,5.07,,0.3,0.67,4.04263565891473
2013-02-18,4.99,,0.3,0.67,4.03875968992249
2013-02-19,4.57,,0.33,0.71,4.03488372093024
2013-02-20,4.86,,0.31,0.68,4.03100775193799
2013-02-21,5.18,,0.32,0.68,4.02713178294574
2013-02-22,5.07,,0.32,0.67,4.02325581395349
2013-02-25,4.47,,0.32,0.66,4.01937984496125
2013-02-26,4.2,,0.33,0.67,4.015503875969
2013-02-27,4.37,,0.37,0.68,4.01162790697675
2013-02-28,4.8,,0.35,0.7,4.0077519379845
2013-03-01,4.57,,0.32,0.69,4.00387596899225
2013-03-04,4.53,,0.3,0.68,4.00000000000001
2013-03-05,4.14,,0.31,0.67,3.99612403100776
2013-03-06,4.19,,0.31,0.69,3.99224806201551
2013-03-07,4.24,,0.31,0.7,3.98837209302326
2013-03-08,4.18,,0.33,0.7,3.98449612403101
2013-03-11,3.88,,0.33,0.67,3.98062015503876
2013-03-12,3.66,,0.31,0.63,3.97674418604652
2013-03-13,3.45,,0.3,0.63,3.97286821705427
2013-03-14,3.63,,0.3,0.63,3.96899224806202
2013-03-15,3.71,,0.31,0.63,3.96511627906977
2013-03-18,3.48,,0.3,0.62,3.96124031007752
2013-03-19,3.45,,0.31,0.62,3.95736434108528
2013-03-20,3.9,,0.31,0.62,3.95348837209303
2013-03-21,4.35,,0.31,0.62,3.94961240310078
2013-03-22,4.08,,0.3,0.61,3.94573643410853
2013-03-25,4.42,,0.32,0.62,3.94186046511628
2013-03-26,4.55,,0.32,0.62,3.93798449612404
2013-03-27,4.88,,0.32,0.63,3.93410852713179
2013-03-28,4.74,,0.32,0.63,3.93023255813954
2013-03-29,4.74,,0.32,0.63,3.92635658914729
2013-04-01,4.74,,0.32,0.63,3.92248062015504
2013-04-02,4.87,,0.32,0.64,3.9186046511628
2013-04-03,4.85,,0.34,0.67,3.91472868217055
2013-04-04,4.97,,0.37,0.67,3.9108527131783
2013-04-05,5.1,,0.41,0.69,3.90697674418605
2013-04-08,5.12,,0.43,0.72,3.9031007751938
2013-04-09,4.71,,0.41,0.69,3.89922480620156
2013-04-10,4.23,,0.39,0.68,3.89534883720931
2013-04-11,4.28,,0.39,0.69,3.89147286821706
2013-04-12,4.7,,0.4,0.69,3.88759689922481
2013-04-15,4.68,,0.41,0.7,3.88372093023256
2013-04-16,3.03,,0.3,0.62,3.87984496124031
2013-04-17,2.7,,0.23,0.55,3.87596899224807
2013-04-18,3.02,,0.24,0.56,3.87209302325582
2013-04-19,3.11,,0.24,0.56,3.86821705426357
2013-04-22,2.84,,0.24,0.56,3.86434108527132
2013-04-23,3.05,,0.23,0.45,3.86046511627907
2013-04-24,2.98,,0.24,0.46,3.85658914728683
2013-04-25,2.92,,0.24,0.46,3.85271317829458
2013-04-26,3.05,,0.25,0.47,3.84883720930233
2013-04-29,3.26,,0.26,0.48,3.84496124031008
2013-04-30,3.07,,0.26,0.52,3.84108527131783
2013-05-01,2.87,,0.25,0.51,3.83720930232559
2013-05-02,3.04,,0.26,0.53,3.83333333333334
2013-05-03,3.73,,0.29,0.56,3.82945736434109
2013-05-06,3.86,,0.3,0.57,3.82558139534884
2013-05-07,3.69,,0.31,0.6,3.82170542635659
